"question_id","Mean","Median","Mode","SD","direction_pct","complete_time_median","complete_time_sd","question_type","average_new_expert"
"4-q1",-1.33,-1,-1,1.18,73.33,17,8.62,"easy",-0.6
"9-q9",-0.47,0,0,0.83,33.33,8,7.66,"hard",0
"2-q6",3,3,3,0,100,7,9.46,"easy",3
"10-q1",-1.4,-2,-3,1.72,80,9,8.76,"easy",-1
"10-q8",2.13,3,3,1.46,93.33,9,8.76,"hard",0.4
"3-q4",1.6,1,1,1.3,86.67,9,7.95,"hard",0.4
"4-q4",-2.13,-3,-3,1.55,93.33,17,8.62,"easy",-3
"10-q4",0.6,0,3,1.8,46.67,9,8.76,"hard",0.2
"8-q7",1.6,1,1,1.06,93.33,7,5.79,"hard",0
"8-q4",0.93,1,1,0.96,66.67,7,5.79,"easy",1.6
"0-q9",-1.33,-2,-2,1.5,80,7,7.13,"easy",-1.2
"4-q6",0.73,1,1,1.39,66.67,8,7.69,"hard",0.4
"3-q10",-0.47,-1,-1,1.13,60,5,6.25,"hard",0
"10-q2",0.73,1,3,2.22,53.33,9,8.76,"hard",0.4
"5-q1",-0.87,-1,0,1.51,60,6,8.68,"hard",0.8
"1-q3",-2.67,-3,-3,0.62,100,7,7.34,"easy",-3
"10-q9",-0.6,0,0,1.45,46.67,6,6.96,"hard",0
"7-q1",-1.33,-2,-3,1.68,80,10,9.5,"hard",-0.2
"0-q8",-0.07,0,1,1.33,40,6,4.55,"hard",-0.2
"10-q3",2.67,3,3,1.29,93.33,9,8.76,"easy",1.6
"6-q5",-2.07,-3,-3,1.75,86.67,6,7.43,"easy",-2.2
"3-q2",2,3,3,1.65,86.67,5,6.25,"easy",0.6
"5-q1",-0.6,-1,-1,1.96,60,8,8.71,"hard",0.8
"0-q8",-0.07,0,0,1.1,26.67,7,7.13,"hard",-0.2
"7-q4",1.07,1,1,1.83,73.33,10,6.91,"easy",1.8
"3-q5",-0.33,0,0,1.23,46.67,5,6.25,"hard",0.6
"7-q5",1.4,1,3,1.45,66.67,10,9.5,"hard",-0.4
"0-q6",2.6,3,3,1.55,93.33,6,4.55,"easy",3
"10-q8",1.33,1,1,1.68,80,5,7.79,"hard",0.4
"8-q1",-0.27,-1,-1,1.94,60,7,5.79,"hard",0
"9-q4",-1.93,-3,-3,2.09,86.67,6,8.86,"easy",-2.8
"2-q1",-1.93,-3,-3,2.05,86.67,7,9.46,"easy",-2.2
"2-q3",1.07,1,1,1.16,73.33,9,7.46,"easy",0.8
"9-q4",-2.53,-3,-3,0.74,100,8,7.66,"easy",-2.8
"10-q7",1.53,1,3,1.51,66.67,9,8.76,"hard",-0.2
"2-q10",1.8,3,3,1.42,80,9,7.46,"easy",1
"8-q2",2.8,3,3,0.77,93.33,4,4.72,"easy",1
"8-q9",0.67,1,1,1.18,53.33,4,4.72,"hard",-0.8
"10-q5",-0.2,0,0,1.32,26.67,6,6.96,"hard",0.2
"8-q10",0.53,0,0,1.81,40,4,4.72,"hard",0.8
"10-q7",1.47,1,3,1.41,73.33,6,6.96,"hard",-0.2
"5-q6",-2.4,-3,-3,1.59,93.33,8,8.71,"easy",-2.4
"3-q8",-2.13,-3,-3,1.55,93.33,5,6.25,"easy",-1.8
"7-q4",0.6,0,0,1.5,46.67,10,9.5,"easy",1.8
"6-q3",0.87,0,0,1.51,46.67,6,7.43,"hard",0
"10-q2",-0.07,-1,3,2.25,53.33,5,7.79,"hard",0.4
"9-q6",-0.13,0,0,2,40,6,8.86,"hard",0.2
"2-q4",0.33,0,0,1.72,33.33,9,7.46,"hard",-1
"6-q8",1.87,3,3,1.46,93.33,10,8.04,"easy",1
"0-q4",1.4,1,3,1.8,73.33,7,7.13,"hard",-1
"8-q1",-0.13,-1,-2,2.1,53.33,4,4.72,"hard",0
"9-q1",-0.93,-2,-2,2.25,73.33,8,7.66,"easy",-1.2
"7-q5",1,1,3,1.65,53.33,10,6.91,"hard",-0.4
"6-q5",-2.73,-3,-3,0.46,100,10,8.04,"easy",-2.2
"7-q2",-0.27,-2,-2,2.58,60,10,6.91,"hard",-0.8
"4-q8",-0.53,-1,-1,1.41,53.33,8,7.69,"easy",1
"3-q5",-0.8,0,0,1.15,46.67,9,7.95,"hard",0.6
"6-q2",2.27,3,3,1.1,93.33,6,7.43,"easy",2.4
"9-q2",-0.87,-1,-1,1.41,73.33,8,7.66,"easy",-1.4
"9-q5",-2.8,-3,-3,0.56,100,8,7.66,"easy",-3
"8-q8",0.2,-1,-1,1.93,60,4,4.72,"easy",-0.6
"8-q4",2.6,3,3,0.83,100,4,4.72,"easy",1.6
"1-q5",-1.33,-1,-1,1.18,80,6,7.88,"easy",-1.2
"1-q7",-2.67,-3,-3,0.72,100,7,7.34,"easy",-2
"0-q1",-0.87,-1,-3,2.1,53.33,7,7.13,"easy",-2.2
"1-q1",2.2,3,3,1.82,86.67,7,7.34,"easy",2.4
"4-q3",-2,-3,-3,1.65,93.33,17,8.62,"easy",-2.2
"4-q1",-0.47,-1,-2,1.73,66.67,8,7.69,"easy",-0.6
"4-q2",-1.6,-2,-2,1.64,80,17,8.62,"easy",-1.2
"7-q10",1.13,1,1,1.64,73.33,10,9.5,"easy",1.2
"4-q8",0.87,0,0,1.68,40,17,8.62,"easy",1
"7-q1",-0.53,-1,-2,2.07,60,10,6.91,"hard",-0.2
"5-q2",-2.07,-3,-3,1.67,86.67,8,8.71,"easy",-1.8
"4-q5",0.53,0,0,1.73,33.33,8,7.69,"hard",0.6
"2-q3",0.67,0,0,1.29,33.33,7,9.46,"easy",0.8
"10-q7",1.07,1,1,1.71,86.67,5,7.79,"hard",-0.2
"4-q2",-1.2,-1,-3,1.78,66.67,8,7.69,"easy",-1.2
"5-q8",2.33,3,3,1.23,93.33,6,8.68,"easy",0.8
"7-q6",-1,-1,-1,1.81,80,10,6.91,"easy",-1.8
"4-q6",1,1,1,1.77,66.67,17,8.62,"hard",0.4
"9-q6",-0.47,-1,-1,1.36,60,8,7.66,"hard",0.2
"6-q10",-0.4,-1,-1,1.45,60,6,7.43,"easy",-0.4
"1-q10",-2.47,-3,-3,1.55,93.33,7,7.34,"easy",-3
"3-q10",-0.4,-1,-1,1.3,53.33,9,7.95,"hard",0
"2-q2",2.67,3,3,0.9,93.33,7,9.46,"easy",2.2
"5-q3",3,3,3,0,100,8,8.71,"easy",2.6
"8-q7",1.27,1,1,1.79,80,4,4.72,"hard",0
"4-q10",2.33,3,3,1.76,86.67,17,8.62,"easy",2.8
"1-q7",-2.47,-3,-3,1.06,93.33,6,7.88,"easy",-2
"3-q1",-0.4,0,0,0.99,33.33,9,7.95,"hard",-0.6
"5-q5",0.93,1,1,1.67,66.67,8,8.71,"hard",-0.4
"10-q1",-0.93,-1,-2,1.91,66.67,5,7.79,"easy",-1
"3-q9",1,1,1,1.13,60,5,6.25,"hard",-0.4
"3-q3",0.8,1,0,1.37,53.33,5,6.25,"easy",0.6
"7-q8",0.2,0,0,1.9,40,10,6.91,"hard",0.4
"2-q9",-1.6,-1,-1,0.83,100,7,9.46,"hard",-0.6
"2-q7",-0.27,0,0,2.05,40,9,7.46,"hard",0
"0-q4",-0.33,0,3,2.19,46.67,6,4.55,"hard",-1
"5-q10",-2.8,-3,-3,0.41,100,8,8.71,"easy",-2.6
"0-q7",-0.73,-2,-3,2.46,60,7,7.13,"easy",-1.4
"10-q2",0.4,0,3,1.99,46.67,6,6.96,"hard",0.4
"6-q1",-0.2,-1,-2,2.01,53.33,6,7.43,"easy",-1.4
"5-q8",2.6,3,3,0.83,100,8,8.71,"easy",0.8
"0-q2",-1.07,-2,-2,1.91,73.33,6,4.55,"easy",-1.4
"10-q9",-0.13,0,0,1.19,26.67,5,7.79,"hard",0
"8-q5",0.87,1,1,1.68,60,7,5.79,"easy",1.6
"1-q6",0.93,0,0,1.39,46.67,7,7.34,"easy",1.6
"7-q8",0.2,0,0,1.47,33.33,10,9.5,"hard",0.4
"3-q4",1.27,1,1,1.33,86.67,5,6.25,"hard",0.4
"9-q10",1.27,1,3,1.94,66.67,6,8.86,"easy",0.6
"10-q4",0.8,1,0,1.37,53.33,6,6.96,"hard",0.2
"7-q10",1,1,3,1.85,66.67,10,6.91,"easy",1.2
"2-q7",-1.2,-1,-1,1.52,80,7,9.46,"hard",0
"3-q3",0.93,1,0,1.49,53.33,9,7.95,"easy",0.6
"7-q2",0,0,3,2.42,46.67,10,9.5,"hard",-0.8
"6-q6",-1.47,-2,-2,1.06,86.67,10,8.04,"easy",-1.6
"9-q9",-0.47,0,0,1.46,33.33,6,8.86,"hard",0
"10-q8",1.67,3,3,1.76,80,6,6.96,"hard",0.4
"10-q5",-0.07,0,0,1.62,40,9,8.76,"hard",0.2
"8-q2",2.13,3,3,1.46,93.33,7,5.79,"easy",1
"2-q9",-1.47,-2,-1,1.55,86.67,9,7.46,"hard",-0.6
"0-q10",-2.8,-3,-3,0.41,100,7,7.13,"easy",-3
"10-q5",0.93,0,0,1.39,46.67,5,7.79,"hard",0.2
"6-q3",0.93,1,1,1.53,60,10,8.04,"hard",0
"9-q5",-2.53,-3,-3,1.55,93.33,6,8.86,"easy",-3
"7-q9",1.4,3,3,2.13,73.33,10,6.91,"easy",1.8
"5-q2",-2.2,-3,-3,1.52,93.33,6,8.68,"easy",-1.8
"6-q7",0.73,1,3,2.02,53.33,6,7.43,"easy",0.4
"2-q4",-0.07,0,0,1.91,40,7,9.46,"hard",-1
"5-q10",-2.13,-2,-3,1.51,93.33,6,8.68,"easy",-2.6
"5-q7",-2.07,-3,-3,1.22,93.33,8,8.71,"easy",-2
"1-q9",0.4,1,1,1.3,53.33,6,7.88,"hard",0
"8-q9",0.4,0,0,1.4,40,7,5.79,"hard",-0.8
"8-q10",0,0,0,1.46,26.67,7,5.79,"hard",0.8
"1-q2",-2.4,-3,-3,1.59,93.33,7,7.34,"easy",-2.6
"9-q7",1.47,1,3,1.77,73.33,6,8.86,"hard",0
"10-q4",-0.47,-1,1,1.68,53.33,5,7.79,"hard",0.2
"3-q9",0.87,1,3,1.81,53.33,9,7.95,"hard",-0.4
"1-q9",0.4,0,1,1.5,46.67,7,7.34,"hard",0
"9-q7",1.93,3,3,1.53,86.67,8,7.66,"hard",0
"10-q9",-0.27,0,0,1.39,40,9,8.76,"hard",0
"3-q1",0.6,0,0,1.18,46.67,5,6.25,"hard",-0.6
"5-q5",0.8,1,1,1.42,60,6,8.68,"hard",-0.4
"4-q5",0.93,1,0,1.44,53.33,17,8.62,"hard",0.6
