"question_id","Mean","Median","Mode","SD","direction_pct","complete_time_median","complete_time_sd","question_type","average_new_expert"
"1-q9",0.4,0,0,1.78,40,7.5,7.68,"hard",0
"2-q2",3,3,3,0,100,5.5,8.08,"easy",2.2
"5-q2",-1.7,-2,-2,1.77,90,6,8.79,"easy",-1.8
"2-q2",2.6,3,3,0.84,100,14.5,8.89,"easy",2.2
"4-q8",0.6,0.5,3,2.01,50,17.5,8.06,"easy",1
"0-q1",-1.7,-2,-2,1.89,80,3,5.25,"easy",-2.2
"5-q10",-2.6,-3,-3,0.52,100,7.5,8.19,"easy",-2.6
"8-q9",1.2,1,0,1.32,60,6,6.55,"hard",-0.8
"5-q5",0.7,0.5,3,1.83,50,7.5,8.53,"hard",-0.4
"4-q6",1,1,1,1.41,80,17.5,8.06,"hard",0.4
"0-q7",-0.7,-1.5,-3,2.36,60,5.5,5.61,"easy",-1.4
"1-q10",-2.8,-3,-3,0.42,100,5.5,5.63,"easy",-3
"6-q10",-0.6,-1,-1,1.9,60,6.5,7.11,"easy",-0.4
"7-q9",2,3,3,1.41,90,4.5,9.29,"easy",1.8
"6-q6",-1.4,-1,-1,0.84,90,6.5,7.51,"easy",-1.6
"2-q9",-1.2,-1.5,-3,1.87,70,14.5,8.89,"hard",-0.6
"3-q1",0.3,0,0,1.25,40,6,10.5,"hard",-0.6
"7-q6",-1.3,-2,-2,1.77,80,16,7.33,"easy",-1.8
"8-q1",-0.3,-1,-1,2.06,60,6,6.55,"hard",0
"9-q6",-0.5,-0.5,0,1.72,50,7.5,6.12,"hard",0.2
"5-q1",-0.9,-2,-3,2.47,60,7.5,8.53,"hard",0.8
"1-q9",0.1,0.5,1,1.29,50,5.5,5.63,"hard",0
"9-q7",1,1,1,1.7,70,13.5,10.47,"hard",0
"10-q3",2.6,3,3,0.84,100,6,5.81,"easy",1.6
"4-q3",-0.9,-1.5,-1,2.18,80,11,8.97,"easy",-2.2
"6-q8",1.6,2,3,1.9,90,12,5.35,"easy",1
"2-q7",-0.9,-1,0,1.79,60,14.5,8.89,"hard",0
"1-q6",1.2,2,3,2.15,60,6.5,8.08,"easy",1.6
"7-q2",0.6,1,3,2.5,60,16,7.33,"hard",-0.8
"10-q7",1.5,1,1,1.43,80,6,5.81,"hard",-0.2
"2-q1",-2,-2.5,-3,1.83,90,8.5,10.3,"easy",-2.2
"8-q10",0,0,0,1.56,30,5,5.58,"hard",0.8
"3-q2",2.2,3,3,1.75,80,7,6.23,"easy",0.6
"8-q10",0.7,0,3,1.7,40,8,5.08,"hard",0.8
"3-q5",-0.3,-1,-1,1.42,60,7.5,7.78,"hard",0.6
"8-q7",1.6,1,1,0.97,100,6,6.55,"hard",0
"4-q1",-0.8,-1,-1,1.55,80,11,8.97,"easy",-0.6
"3-q8",-2.1,-2,-2,1.2,90,7,6.23,"easy",-1.8
"10-q2",0.4,0.5,1,1.78,50,11.5,10.13,"hard",0.4
"7-q5",1,0.5,3,1.89,50,9,6.55,"hard",-0.4
"3-q1",0.4,0,0,1.43,20,7.5,7.78,"hard",-0.6
"2-q7",-0.6,0,0,0.97,40,5.5,8.08,"hard",0
"6-q3",0.9,0,0,1.52,40,12,5.35,"hard",0
"1-q1",2.4,3,3,1.9,90,11.5,8.55,"easy",2.4
"4-q10",1.9,3,3,2.33,80,11,8.97,"easy",2.8
"0-q4",-0.3,-0.5,0,2,50,12,7.58,"hard",-1
"5-q2",-2.3,-3,-3,1.06,90,7.5,8.19,"easy",-1.8
"3-q10",-0.3,0,0,0.67,40,7.5,7.78,"hard",0
"9-q10",1.9,2,3,1.2,90,5.5,7.37,"easy",0.6
"2-q6",2.8,3,3,0.63,100,14.5,8.89,"easy",3
"6-q1",-0.7,-1.5,-2,2.26,70,6.5,7.51,"easy",-1.4
"7-q9",2.1,3,3,2.02,80,9,6.55,"easy",1.8
"10-q8",1.7,2,3,1.49,80,6,5.81,"hard",0.4
"3-q10",-0.6,-1,-1,0.7,70,7,6.23,"hard",0
"8-q5",1.6,2,3,1.51,60,8,5.08,"easy",1.6
"1-q1",2.6,3,3,1.26,90,5.5,5.63,"easy",2.4
"9-q10",0.5,0.5,0,1.72,50,13.5,10.47,"easy",0.6
"1-q7",-2.1,-3,-3,1.37,90,11.5,8.55,"easy",-2
"9-q10",1.2,1,1,1.14,90,7.5,6.12,"easy",0.6
"4-q5",1.3,0.5,0,1.49,50,8,6.6,"hard",0.6
"10-q8",1.5,3,3,2.27,80,7,9.15,"hard",0.4
"2-q9",-1.7,-1.5,-1,0.82,100,5.5,8.08,"hard",-0.6
"8-q5",1.2,1,0,1.32,60,5,5.58,"easy",1.6
"7-q2",-0.7,-1.5,-2,2.21,60,9,6.55,"hard",-0.8
"10-q7",1.6,1,1,1.26,80,8,5.86,"hard",-0.2
"3-q9",-0.1,0,1,1.66,40,7.5,6.71,"hard",-0.4
"8-q4",1.8,3,3,1.75,80,8,5.08,"easy",1.6
"10-q7",0.8,1,1,1.48,60,11.5,10.13,"hard",-0.2
"3-q1",0,0,0,1.49,30,7.5,6.71,"hard",-0.6
"2-q4",-0.2,0,0,1.62,30,5.5,8.08,"hard",-1
"2-q4",0.6,0.5,3,1.96,50,8.5,10.3,"hard",-1
"8-q1",-0.1,-0.5,-2,1.91,50,5,5.58,"hard",0
"10-q8",1.3,1,3,1.77,80,11.5,10.13,"hard",0.4
"10-q9",0,0,0,0.47,10,8,5.86,"hard",0
"9-q7",1.3,1,1,1.77,80,7.5,6.12,"hard",0
"10-q1",-1.3,-1.5,-3,1.83,80,8,5.86,"easy",-1
"8-q7",1.5,1,3,1.43,80,8,5.08,"hard",0
"0-q10",-2.8,-3,-3,0.42,100,5.5,5.61,"easy",-3
"9-q9",-0.7,0,0,1.06,40,5.5,7.37,"hard",0
"0-q6",2.8,3,3,0.63,100,5.5,5.61,"easy",3
"3-q4",1,1,3,1.94,60,7.5,6.71,"hard",0.4
"10-q4",0.2,0.5,1,1.55,50,7,9.15,"hard",0.2
"10-q4",-0.1,-0.5,-1,1.97,50,11.5,10.13,"hard",0.2
"7-q5",1.2,1,0,1.32,60,16.5,7.66,"hard",-0.4
"0-q6",2.4,3,3,1.9,90,12,7.58,"easy",3
"4-q5",0.7,1,3,2.31,60,17.5,8.06,"hard",0.6
"1-q9",0.4,0,0,1.78,40,11.5,8.55,"hard",0
"0-q4",0.6,1,1,2.22,70,5.5,5.61,"hard",-1
"9-q1",-1.2,-2,-2,1.4,70,7.5,6.12,"easy",-1.2
"7-q1",-1.3,-1,-1,1.25,80,16.5,7.66,"hard",-0.2
"9-q7",1.7,3,3,2,80,5.5,5.25,"hard",0
"5-q3",3,3,3,0,100,10.5,5.79,"easy",2.6
"2-q7",-1.8,-2,-1,1.03,90,8,8.48,"hard",0
"9-q6",-0.3,-0.5,0,2,50,5.5,5.25,"hard",0.2
"1-q10",-2.8,-3,-3,0.42,100,11.5,8.55,"easy",-3
"5-q2",-2.7,-3,-3,0.48,100,7.5,8.53,"easy",-1.8
"4-q6",1.6,1,3,1.26,80,8,9.26,"hard",0.4
"1-q7",-3,-3,-3,0,100,5.5,5.63,"easy",-2
"8-q8",-0.7,-1,-1,2.06,80,6,6.55,"easy",-0.6
"5-q5",0.5,0.5,0,0.53,50,10.5,5.79,"hard",-0.4
"9-q1",-0.5,-1.5,3,2.51,70,13.5,10.47,"easy",-1.2
"5-q3",3,3,3,0,100,7.5,8.19,"easy",2.6
"5-q8",2.2,3,3,1.03,100,7.5,8.19,"easy",0.8
"3-q9",0.8,0.5,0,1.32,50,7.5,7.78,"hard",-0.4
"8-q9",0.3,0,-1,1.25,40,8,5.08,"hard",-0.8
"2-q7",-0.4,-1,3,2.55,60,8.5,10.3,"hard",0
"7-q10",1.3,1,1,1.34,80,16.5,7.66,"easy",1.2
"1-q6",0.6,0,0,1.43,40,11.5,8.55,"easy",1.6
"1-q3",-2,-3,-3,1.89,90,6.5,8.08,"easy",-3
"10-q3",2.5,3,3,1.58,90,11.5,10.13,"easy",1.6
"6-q6",-0.6,-1,-1,2.07,80,12,5.35,"easy",-1.6
"3-q8",-2.6,-3,-3,0.7,100,7.5,7.78,"easy",-1.8
"10-q3",3,3,3,0,100,8,5.86,"easy",1.6
"5-q1",-0.9,-1,-1,1.1,70,7.5,8.19,"hard",0.8
"3-q5",0,0,0,1.15,30,6,10.5,"hard",0.6
"3-q5",-0.4,0,0,0.97,30,7,6.23,"hard",0.6
"7-q8",-1.1,-1,0,1.2,50,16,7.33,"hard",0.4
"7-q4",0.8,1,1,0.92,60,16.5,7.66,"easy",1.8
"10-q5",0.5,0,0,1.08,40,8,5.86,"hard",0.2
