"question_id","Mean","Median","Mode","SD","direction_pct","complete_time_median","complete_time_sd","question_type","average_new_expert"
"5-q5",0.9,1,0,1.21,55,9.5,6.72,"hard",-0.4
"1-q7",-2.8,-3,-3,0.41,100,5,6.41,"easy",-2
"10-q4",0.15,0,1,1.53,45,7.5,8.28,"hard",0.2
"1-q10",-2.9,-3,-3,0.31,100,5,6.41,"easy",-3
"3-q9",0.55,0,0,1.28,40,7.5,6.07,"hard",-0.4
"10-q2",0.2,0,0,2.04,40,7.5,8.28,"hard",0.4
"0-q8",-0.3,0,0,0.92,40,6.5,5.65,"hard",-0.2
"8-q7",1.75,1,1,1.07,95,6.5,5.79,"hard",0
"6-q8",1.65,1,1,1.04,95,10.5,7.16,"easy",1
"3-q4",1.55,1,1,1.15,85,7.5,6.07,"hard",0.4
"4-q8",0.45,0,0,1.67,40,12,8.14,"easy",1
"0-q4",0.35,1,1,2.03,55,6.5,5.65,"hard",-1
"4-q10",3,3,3,0,100,12,8.14,"easy",2.8
"8-q5",1.3,1,0,1.34,60,6.5,5.79,"easy",1.6
"10-q9",-0.35,0,0,0.88,30,7.5,8.28,"hard",0
"8-q1",-1.05,-1,-2,1.05,70,6.5,5.79,"hard",0
"6-q3",0.85,1,1,1.18,65,10.5,7.16,"hard",0
"10-q7",1.15,1,1,1.23,70,7.5,8.28,"hard",-0.2
"0-q9",-1.35,-1,-1,0.88,90,6.5,5.65,"easy",-1.2
"4-q4",-2.8,-3,-3,0.41,100,12,8.14,"easy",-3
"10-q3",3,3,3,0,100,7.5,8.28,"easy",1.6
"5-q8",2.6,3,3,1.05,95,9.5,6.72,"easy",0.8
"8-q9",0.45,0,0,0.51,45,6.5,5.79,"hard",-0.8
"1-q3",-2.75,-3,-3,0.55,100,5,6.41,"easy",-3
"3-q5",-0.7,-0.5,0,1.08,50,7.5,6.07,"hard",0.6
"10-q5",-0.05,0,0,0.83,20,7.5,8.28,"hard",0.2
"6-q10",-0.5,-1,-1,1.19,60,10.5,7.16,"easy",-0.4
"0-q6",3,3,3,0,100,6.5,5.65,"easy",3
"3-q1",0.1,0,0,1.59,25,7.5,6.07,"hard",-0.6
"4-q5",1.3,1,3,1.69,55,12,8.14,"hard",0.6
"6-q1",-1.75,-2,-2,1.07,90,10.5,7.16,"easy",-1.4
"5-q6",-2.8,-3,-3,0.52,100,9.5,6.72,"easy",-2.4
"1-q9",0.3,0.5,1,1.22,50,5,6.41,"hard",0
"10-q8",2,2,3,1.03,100,7.5,8.28,"hard",0.4
"8-q10",0.1,0,0,1.25,30,6.5,5.79,"hard",0.8
"0-q1",-1.6,-2,-2,0.94,85,6.5,5.65,"easy",-2.2
"3-q8",-2.7,-3,-3,0.47,100,7.5,6.07,"easy",-1.8
"0-q2",-1.4,-2,-2,0.99,75,6.5,5.65,"easy",-1.4
"6-q6",-1.5,-1,-1,0.76,95,10.5,7.16,"easy",-1.6
"5-q3",3,3,3,0,100,9.5,6.72,"easy",2.6
"5-q7",-2.3,-2.5,-3,0.8,100,9.5,6.72,"easy",-2
"0-q10",-2.85,-3,-3,0.37,100,6.5,5.65,"easy",-3
"3-q10",-0.7,-1,-1,0.8,65,7.5,6.07,"hard",0
"4-q6",1.45,1,1,1.1,85,12,8.14,"hard",0.4
"6-q2",2.65,3,3,0.88,95,10.5,7.16,"easy",2.4
"5-q1",-0.95,-1,-1,1.76,70,9.5,6.72,"hard",0.8
