"question_id","Mean","Median","Mode","SD","direction_pct","complete_time_median","complete_time_sd","question_type","average_new_expert"
"3-q10",-0.4,0,0,1.17,40,7,7.27,"hard",0
"8-q9",1,1,1,1.15,60,6.5,3.94,"hard",-0.8
"7-q6",-1.6,-2,-2,1.17,90,16,8.91,"easy",-1.8
"3-q5",-1,-1,-1,0.94,70,7,7.27,"hard",0.6
"10-q5",0.1,0,0,1.66,40,6.5,8.88,"hard",0.2
"10-q5",0.4,0,0,1.58,30,9.5,9.13,"hard",0.2
"6-q1",-1.2,-2,-2,1.69,80,7,8.99,"easy",-1.4
"6-q3",0.6,0,0,1.51,40,10.5,8.08,"hard",0
"9-q6",-1,-1,-1,1.25,70,7,6.54,"hard",0.2
"9-q10",0.5,1,1,0.71,60,13,8.71,"easy",0.6
"3-q9",0.9,0,0,1.52,40,8,9.31,"hard",-0.4
"8-q4",1.6,1,3,1.26,80,7.5,4.82,"easy",1.6
"3-q1",0.5,0,0,1.58,40,6.5,6.67,"hard",-0.6
"7-q6",-1.5,-1,-1,0.97,90,15.5,8.6,"easy",-1.8
"7-q1",-0.8,-1,-2,1.55,70,16,8.91,"hard",-0.2
"6-q6",-1.1,-1,-2,0.99,80,7,8.99,"easy",-1.6
"5-q3",3,3,3,0,100,10,9.07,"easy",2.6
"4-q10",3,3,3,0,100,8.5,6.43,"easy",2.8
"9-q10",1.2,1,1,1.55,80,6,10.52,"easy",0.6
"4-q10",3,3,3,0,100,12.5,8.17,"easy",2.8
"0-q4",0.6,0.5,3,2.07,50,9,7.22,"hard",-1
"1-q7",-2.8,-3,-3,0.42,100,4.5,6.82,"easy",-2
"6-q3",0.9,0.5,0,1.6,50,13,7.21,"hard",0
"8-q9",0.4,0.5,1,0.7,50,9,8.49,"hard",-0.8
"6-q8",1.6,1,3,1.26,80,7,5.28,"easy",1
"5-q5",0.8,0.5,0,1.75,50,7.5,9.25,"hard",-0.4
"7-q2",0.1,0,-2,2.33,40,4,6.45,"hard",-0.8
"10-q5",-0.3,0,0,0.67,40,7,8.76,"hard",0.2
"6-q8",1.9,2,3,1.2,90,13,7.21,"easy",1
"7-q4",0.6,1,1,1.78,60,15.5,8.6,"easy",1.8
"5-q1",-1.8,-2,-2,0.79,100,7.5,9.25,"hard",0.8
"2-q1",-2.5,-2.5,-3,0.53,100,6,7.42,"easy",-2.2
"10-q4",0.7,0,0,1.34,40,6.5,8.88,"hard",0.2
"10-q4",0.3,0,0,0.67,40,9.5,9.13,"hard",0.2
"9-q7",1.7,2,3,1.49,80,6,10.52,"hard",0
"7-q5",1.5,1,3,1.35,70,15.5,8.6,"hard",-0.4
"1-q10",-2.9,-3,-3,0.32,100,7,8.03,"easy",-3
"1-q1",2.8,3,3,0.63,100,7,8.03,"easy",2.4
"3-q1",-0.3,0,0,1.64,40,8,9.31,"hard",-0.6
"8-q1",-1.4,-1.5,-2,0.7,90,9,8.49,"hard",0
"9-q2",-1.2,-1,-1,1.23,80,7,6.54,"easy",-1.4
"10-q3",2.6,3,3,0.84,100,7,5.25,"easy",1.6
"7-q5",1.1,0,0,1.66,40,4,6.45,"hard",-0.4
"4-q1",-1,-1,-1,1.94,70,16,7.91,"easy",-0.6
"2-q9",-1.3,-1,-1,1.25,80,6,7.42,"hard",-0.6
"10-q4",0,-0.5,-1,2,50,7,8.76,"hard",0.2
"1-q3",-2.5,-3,-3,0.71,100,7,8.03,"easy",-3
"2-q7",-0.5,-0.5,0,1.58,50,8.5,8.03,"hard",0
"3-q4",1.7,2,3,1.49,80,8,9.31,"hard",0.4
"9-q1",-2.3,-2,-2,0.48,100,7,6.54,"easy",-1.2
"2-q10",1.6,1,3,1.26,80,6,7.42,"easy",1
"8-q9",0.4,0,0,1.26,40,7.5,4.82,"hard",-0.8
"7-q10",0.9,0.5,3,1.6,50,15.5,8.6,"easy",1.2
"0-q9",-1.5,-1,-1,0.71,100,6,4.9,"easy",-1.2
"6-q2",2.7,3,3,0.95,90,7,5.28,"easy",2.4
"8-q7",1.8,1,1,1.03,100,6.5,3.94,"hard",0
"10-q9",-0.3,-0.5,0,1.49,50,7,8.76,"hard",0
"0-q8",-0.6,-1,-2,1.51,60,6,4.9,"hard",-0.2
"2-q1",-2.7,-3,-3,0.67,100,8.5,8.03,"easy",-2.2
"4-q4",-2.9,-3,-3,0.32,100,12.5,8.17,"easy",-3
"4-q6",1.3,1,1,0.95,90,12.5,8.17,"hard",0.4
"6-q3",0.5,0.5,1,0.53,50,7,5.28,"hard",0
"3-q10",0,0,-1,1.25,40,6.5,6.67,"hard",0
"10-q7",1.3,1,3,1.89,80,6.5,8.88,"hard",-0.2
"6-q2",2.1,3,3,1.2,90,10.5,8.08,"easy",2.4
"0-q2",-1.9,-2,-2,1.1,80,6.5,6.67,"easy",-1.4
"5-q3",3,3,3,0,100,8.5,7.44,"easy",2.6
"2-q7",-1,-0.5,0,1.41,50,6,7.42,"hard",0
"8-q8",-1.1,-1,-1,1.6,90,6.5,3.94,"easy",-0.6
"0-q7",-0.6,-1.5,3,2.59,70,6,4.9,"easy",-1.4
"3-q4",1.1,1,1,1.2,80,6.5,6.67,"hard",0.4
"4-q4",-2.9,-3,-3,0.32,100,8.5,6.43,"easy",-3
"2-q3",0.9,0.5,0,1.2,50,7.5,8.92,"easy",0.8
"7-q9",1.7,2,3,1.42,70,15.5,8.6,"easy",1.8
"2-q9",-1.5,-1,-1,0.71,100,7.5,8.92,"hard",-0.6
"2-q7",-0.5,-1,-1,2.01,70,7.5,8.92,"hard",0
"8-q4",1.2,1,1,1.4,70,9,8.49,"easy",1.6
"3-q2",1.6,3,3,1.96,70,7,7.27,"easy",0.6
"10-q4",0.6,1,3,2.12,60,7,5.25,"hard",0.2
"9-q6",-1,-1,0,1.25,60,13,8.71,"hard",0.2
"2-q4",-0.2,0,0,2.15,40,10.5,9.19,"hard",-1
"0-q7",-1.8,-3,-3,2.1,80,6.5,6.67,"easy",-1.4
"10-q8",1.1,1,1,1.66,80,9.5,9.13,"hard",0.4
"6-q1",-1.7,-2,-3,1.83,90,10.5,8.08,"easy",-1.4
"9-q7",1.5,1,1,1.08,90,13,8.71,"hard",0
"5-q3",3,3,3,0,100,8.5,4.62,"easy",2.6
"3-q5",-1,-1,-1,0.82,70,6.5,6.67,"hard",0.6
"10-q7",1.5,1,3,1.35,70,9.5,9.13,"hard",-0.2
"5-q7",-2.5,-3,-3,0.71,100,8.5,4.62,"easy",-2
"3-q1",0.5,0,0,1.58,40,7,7.27,"hard",-0.6
"3-q9",1.6,1,3,1.26,80,7,7.27,"hard",-0.4
"7-q1",-1.7,-2,-2,0.95,90,15.5,8.6,"hard",-0.2
"10-q2",-0.5,-1,-2,1.72,60,9.5,9.13,"hard",0.4
"5-q1",-0.9,-1,-1,1.85,70,8.5,4.62,"hard",0.8
"5-q5",0.8,1,1,0.92,60,8.5,7.44,"hard",-0.4
"9-q6",-0.9,-1,0,0.88,60,6,10.52,"hard",0.2
"4-q5",1.4,2,3,1.84,60,16,7.91,"hard",0.6
"10-q3",3,3,3,0,100,9.5,9.13,"easy",1.6
"10-q5",-0.5,0,0,0.97,30,7,5.25,"hard",0.2
"4-q3",-2.2,-2.5,-3,1.23,90,16,7.91,"easy",-2.2
"0-q8",-0.1,0,0,0.74,30,9,7.22,"hard",-0.2
"2-q7",-1.4,-1.5,-3,1.9,80,10.5,9.19,"hard",0
"5-q2",-2,-2.5,-3,1.83,90,7.5,9.25,"easy",-1.8
"8-q10",0.1,0,0,1.37,30,9,8.49,"hard",0.8
"7-q8",0,0,0,1.49,30,15.5,8.6,"hard",0.4
"5-q1",-0.5,-0.5,-1,1.9,50,8.5,7.44,"hard",0.8
"9-q5",-3,-3,-3,0,100,7,6.54,"easy",-3
"1-q9",-0.1,0,0,1.45,20,14.5,7.8,"hard",0
"5-q6",-2.9,-3,-3,0.32,100,8.5,4.62,"easy",-2.4
"7-q4",0.6,0.5,3,1.96,50,16,8.91,"easy",1.8
"2-q6",3,3,3,0,100,10.5,9.19,"easy",3
"0-q1",-0.8,-0.5,0,1.81,50,9,7.22,"easy",-2.2
"5-q7",-2.6,-3,-3,0.7,100,8.5,7.44,"easy",-2
"6-q6",-1.2,-1,-1,1.69,90,13,7.21,"easy",-1.6
"7-q4",1.1,1,1,1.6,70,4,6.45,"easy",1.8
"2-q6",3,3,3,0,100,7.5,8.92,"easy",3
"7-q8",0.1,0,0,1.37,30,4,6.45,"hard",0.4
"4-q4",-2.6,-3,-3,0.52,100,16,7.91,"easy",-3
"8-q10",-0.5,-0.5,-1,0.53,50,6.5,3.94,"hard",0.8
"9-q5",-2.9,-3,-3,0.32,100,6,10.52,"easy",-3
"10-q9",-0.8,0,0,1.32,30,7,5.25,"hard",0
"9-q9",-0.7,0,0,1.06,40,7,6.54,"hard",0
"6-q8",2.2,3,3,1.03,100,10.5,8.08,"easy",1
"0-q10",-2.8,-3,-3,0.42,100,9,7.22,"easy",-3
"4-q5",-0.6,0,0,1.17,40,12.5,8.17,"hard",0.6
"3-q5",0.5,0,0,1.08,40,8,9.31,"hard",0.6
"8-q4",1.2,1,3,1.75,60,6.5,3.94,"easy",1.6
"8-q2",1.9,3,3,1.66,90,9,8.49,"easy",1
"4-q6",0.9,0.5,0,1.2,50,8.5,6.43,"hard",0.4
"3-q10",-0.2,-0.5,-1,1.23,50,8,9.31,"hard",0
"1-q2",-2.3,-2,-2,0.67,100,4.5,6.82,"easy",-2.6
"8-q5",1.2,0.5,0,1.62,50,9,8.49,"easy",1.6
"0-q4",0.7,0.5,3,2.26,50,6.5,6.67,"hard",-1
"1-q9",0.8,1,1,0.92,60,7,8.03,"hard",0
"3-q4",1.3,1,1,0.95,90,7,7.27,"hard",0.4
"0-q6",3,3,3,0,100,6,4.9,"easy",3
"7-q2",-0.5,-0.5,-3,2.32,50,15.5,8.6,"hard",-0.8
"9-q4",-2.5,-3,-3,0.71,100,13,8.71,"easy",-2.8
"0-q6",3,3,3,0,100,6.5,6.67,"easy",3
"5-q8",2.4,3,3,0.97,100,10,9.07,"easy",0.8
"10-q7",1.5,1,3,1.43,80,7,5.25,"hard",-0.2
"7-q9",1.5,1,1,1.08,90,4,6.45,"easy",1.8
"7-q5",2,3,3,1.41,90,16,8.91,"hard",-0.4
"2-q4",0.3,0.5,1,1.49,50,7.5,8.92,"hard",-1
"0-q8",-0.3,0,0,0.82,30,6.5,6.67,"hard",-0.2
"5-q10",-2.5,-3,-3,0.85,100,7.5,9.25,"easy",-2.6
"1-q7",-2.8,-3,-3,0.42,100,7,8.03,"easy",-2
"9-q10",2,2,1,1.05,100,7,6.54,"easy",0.6
"8-q1",-0.6,-1,-1,1.71,60,7.5,4.82,"hard",0
