"question_id","Mean","Median","Mode","SD","direction_pct","complete_time_median","complete_time_sd","question_type","average_new_expert"
"0-q4",0.05,0,3,2.16,45,6.5,5.44,"hard",-1
"0-q10",-2.65,-3,-3,0.49,100,6.5,5.44,"easy",-3
"7-q8",0.15,0,0,1.35,30,10.5,8.04,"hard",0.4
"2-q2",2.7,3,3,0.73,100,6,7.76,"easy",2.2
"4-q6",1.35,1,1,1.04,85,13.5,7.64,"hard",0.4
"5-q6",-2.8,-3,-3,0.52,100,8.5,8.05,"easy",-2.4
"6-q8",1.8,2,3,1.4,90,8,7.76,"easy",1
"8-q4",1.45,1,1,1.28,80,7,5.87,"easy",1.6
"4-q5",0.75,0,0,1.52,45,13.5,7.64,"hard",0.6
"5-q1",-0.95,-2,-2,1.82,65,8.5,8.05,"hard",0.8
"6-q7",2.45,3,3,1,95,8,7.76,"easy",0.4
"5-q2",-2.45,-2.5,-3,0.6,100,8.5,8.05,"easy",-1.8
"6-q1",-1.65,-2,-2,1.18,80,10.5,6.6,"easy",-1.4
"9-q4",-2.55,-3,-3,0.69,100,7.5,8.93,"easy",-2.8
"10-q7",0.85,1,1,1.5,70,5,4.95,"hard",-0.2
"3-q8",-2.55,-3,-3,0.6,100,9,8.06,"easy",-1.8
"8-q9",0.35,0,0,0.99,40,7,5.87,"hard",-0.8
"3-q1",-0.25,0,0,1.25,30,9,8.06,"hard",-0.6
"0-q6",2.9,3,3,0.45,100,6.5,5.44,"easy",3
"2-q3",1,1,1,1.34,60,6,7.76,"easy",0.8
"1-q5",-1.55,-1,-1,1.1,85,8.5,7.47,"easy",-1.2
"9-q1",-1.45,-2,-2,1.15,85,7.5,8.93,"easy",-1.2
"10-q5",0.2,0,0,0.89,25,5,4.95,"hard",0.2
"8-q10",0.1,0,0,0.97,20,7,5.87,"hard",0.8
"2-q1",-2.65,-3,-3,0.59,100,6,7.76,"easy",-2.2
"6-q6",-1.05,-1,-1,1.19,85,10.5,6.6,"easy",-1.6
"10-q2",0.1,0,3,2.27,45,5,4.95,"hard",0.4
"6-q3",0.8,0.5,0,1.32,50,8,7.76,"hard",0
"0-q8",-0.65,-1,-1,0.93,55,6.5,5.44,"hard",-0.2
"10-q4",0.15,0,1,1.53,45,5,4.95,"hard",0.2
"8-q5",1.2,1,3,1.47,60,7,5.87,"easy",1.6
"10-q3",3,3,3,0,100,5,4.95,"easy",1.6
"8-q8",-0.7,-1,-1,1.22,80,7,5.87,"easy",-0.6
"10-q9",-0.4,0,0,0.88,35,5,4.95,"hard",0
"0-q2",-0.75,-1,-2,1.55,60,6.5,5.44,"easy",-1.4
"8-q1",-0.8,-1,-2,1.32,70,7,5.87,"hard",0
"2-q4",-0.35,0,0,1.31,30,6,7.76,"hard",-1
"10-q8",1.75,2,3,1.48,90,5,4.95,"hard",0.4
"7-q1",-1.6,-1.5,-1,1.1,90,10.5,8.04,"hard",-0.2
"7-q2",-0.25,-0.5,3,2.47,50,10.5,8.04,"hard",-0.8
"1-q3",-2.75,-3,-3,0.44,100,8.5,7.47,"easy",-3
"3-q5",-0.5,0,0,1.05,45,9,8.06,"hard",0.6
"9-q5",-2.8,-3,-3,0.52,100,7.5,8.93,"easy",-3
"6-q3",0.55,0,0,1.32,45,10.5,6.6,"hard",0
"6-q2",2.4,3,3,1.1,90,10.5,6.6,"easy",2.4
"6-q10",-0.9,-1,-1,1.17,70,10.5,6.6,"easy",-0.4
"9-q7",1.4,1,1,1.39,80,7.5,8.93,"hard",0
"5-q5",0.5,0.5,1,0.89,50,8.5,8.05,"hard",-0.4
"1-q9",0.2,0,0,1.36,45,8.5,7.47,"hard",0
"3-q10",-0.75,-1,-1,0.79,70,9,8.06,"hard",0
"9-q9",-0.2,0,0,0.41,20,7.5,8.93,"hard",0
"2-q9",-1.8,-2,-1,1.06,90,6,7.76,"hard",-0.6
"5-q3",3,3,3,0,100,8.5,8.05,"easy",2.6
"3-q4",1.25,1,1,1.16,80,9,8.06,"hard",0.4
"3-q9",0.55,0,0,1.19,35,9,8.06,"hard",-0.4
"2-q7",-1.35,-1,0,1.23,65,6,7.76,"hard",0
"8-q7",1.3,1,1,1.22,90,7,5.87,"hard",0
"7-q5",1.6,2,3,1.47,60,10.5,8.04,"hard",-0.4
"7-q6",-1.4,-1.5,-2,0.88,90,10.5,8.04,"easy",-1.8
"9-q6",-0.45,0,0,1.43,45,7.5,8.93,"hard",0.2
"6-q5",-2.75,-3,-3,0.44,100,8,7.76,"easy",-2.2
"4-q1",-1.4,-1,-1,1.05,80,13.5,7.64,"easy",-0.6
"2-q10",1.55,1,1,1.19,90,6,7.76,"easy",1
"1-q7",-2.75,-3,-3,0.55,100,8.5,7.47,"easy",-2
"3-q2",2.6,3,3,0.82,100,9,8.06,"easy",0.6
"4-q4",-2.7,-3,-3,0.47,100,13.5,7.64,"easy",-3
"8-q2",2.8,3,3,0.62,100,7,5.87,"easy",1
"4-q3",-2.25,-3,-3,1.07,95,13.5,7.64,"easy",-2.2
