"question_id","Mean","Median","Mode","SD","direction_pct","complete_time_median","complete_time_sd","question_type","average_new_expert"
"0-q1",-1.27,-1,-1,1.62,73.33,7,7,"easy",-2.2
"2-q6",3,3,3,0,100,11,8.89,"easy",3
"10-q2",-0.4,0,0,2.2,46.67,5,8.99,"hard",0.4
"3-q8",-2.67,-3,-3,0.49,100,6,4.06,"easy",-1.8
"0-q6",3,3,3,0,100,7,7,"easy",3
"6-q6",-1.2,-1,-1,1.52,86.67,11,7.45,"easy",-1.6
"10-q5",0.4,0,0,1.3,33.33,5,8.99,"hard",0.2
"9-q9",-0.53,0,0,0.92,33.33,8,8.78,"hard",0
"4-q3",-2.07,-3,-3,1.75,86.67,13,9.37,"easy",-2.2
"6-q8",1.93,1,1,1.03,100,10,6.22,"easy",1
"8-q1",-0.6,-1,0,1.55,53.33,7,5.41,"hard",0
"9-q1",-0.67,-2,-2,2.16,66.67,8,8.78,"easy",-1.2
"3-q1",0,0,0,1.6,33.33,6,4.06,"hard",-0.6
"6-q1",-1.33,-1,-1,1.63,86.67,10,6.22,"easy",-1.4
"4-q6",1.8,1,3,1.21,86.67,13,9.37,"hard",0.4
"2-q7",-1.6,-2,-3,1.68,80,11,8.89,"hard",0
"5-q3",3,3,3,0,100,7,6.54,"easy",2.6
"7-q10",1.27,1,3,1.67,66.67,16,9.2,"easy",1.2
"7-q1",-1.07,-2,-2,1.83,80,16,9.2,"hard",-0.2
"4-q2",-1.53,-2,-3,1.85,73.33,10,6.65,"easy",-1.2
"3-q3",1,1,0,1.46,60,13,8.49,"easy",0.6
"4-q4",-2.93,-3,-3,0.26,100,10,6.65,"easy",-3
"5-q5",0.8,1,1,1.37,60,12,7.94,"hard",-0.4
"8-q8",-1,-1,-1,1.46,86.67,7,5.41,"easy",-0.6
"1-q1",2.6,3,3,1.55,93.33,7,7.35,"easy",2.4
"8-q9",0.53,1,1,1.06,53.33,7,5.41,"hard",-0.8
"0-q7",-1.73,-3,-3,1.83,80,7,7,"easy",-1.4
"4-q5",0.13,0,0,1.41,20,10,6.65,"hard",0.6
"3-q9",0.73,0,0,1.39,46.67,6,4.06,"hard",-0.4
"10-q4",-0.33,0,0,1.59,40,5,8.99,"hard",0.2
"10-q9",-0.33,0,0,0.72,33.33,5,8.99,"hard",0
"7-q5",1.73,1,3,1.28,80,16,9.2,"hard",-0.4
"5-q6",-2.53,-3,-3,1.55,93.33,12,7.94,"easy",-2.4
"4-q1",-1.33,-1,-1,1.18,80,10,6.65,"easy",-0.6
"5-q7",-2.13,-3,-3,1.19,93.33,7,6.54,"easy",-2
"6-q2",2.27,3,3,1.28,80,11,7.45,"easy",2.4
"5-q2",-2.47,-3,-3,0.83,93.33,7,6.54,"easy",-1.8
"7-q4",0.87,1,0,1.55,53.33,16,9.2,"easy",1.8
"4-q6",1.2,1,1,1.01,80,10,6.65,"hard",0.4
"10-q5",0,0,0,1.25,20,8,8.08,"hard",0.2
"2-q1",-2.73,-3,-3,0.46,100,5,8,"easy",-2.2
"4-q10",3,3,3,0,100,13,9.37,"easy",2.8
"0-q8",-0.27,0,0,0.88,40,7,7,"hard",-0.2
"10-q8",2.07,3,3,1.28,93.33,5,8.99,"hard",0.4
"3-q1",-0.07,0,0,1.22,26.67,13,8.49,"hard",-0.6
"3-q4",1.4,1,1,1.12,93.33,6,4.06,"hard",0.4
"2-q4",-0.8,0,0,1.15,46.67,5,8,"hard",-1
"3-q10",-0.07,-1,-1,1.39,53.33,6,4.06,"hard",0
"1-q6",1.93,3,3,1.22,86.67,7,5.84,"easy",1.6
"0-q4",0,0,0,2.2,40,7,7,"hard",-1
"1-q7",-2.6,-3,-3,1.06,93.33,7,7.35,"easy",-2
"2-q4",0.87,0,0,1.81,46.67,11,8.89,"hard",-1
"10-q4",1,1,1,1.51,66.67,8,8.08,"hard",0.2
"2-q9",-2.2,-2,-2,0.77,100,11,8.89,"hard",-0.6
"7-q9",1.67,3,3,1.76,80,16,9.2,"easy",1.8
"4-q8",0.53,0,0,1.88,46.67,13,9.37,"easy",1
"9-q5",-2.93,-3,-3,0.26,100,8,8.78,"easy",-3
"10-q7",0.93,1,1,1.58,66.67,8,8.08,"hard",-0.2
"8-q5",1.27,1,3,1.75,66.67,7,5.41,"easy",1.6
"7-q6",-1.47,-2,-2,1.51,86.67,16,9.2,"easy",-1.8
"9-q10",0.87,1,1,1.25,80,8,8.78,"easy",0.6
"6-q3",1.13,1,1,1.06,73.33,10,6.22,"hard",0
"2-q3",1,1,1,1.2,66.67,5,8,"easy",0.8
"2-q7",-0.6,-1,-1,1.76,60,5,8,"hard",0
"8-q4",1.67,1,1,1.23,93.33,7,5.41,"easy",1.6
"3-q9",0.87,1,0,1.55,53.33,13,8.49,"hard",-0.4
"5-q8",2.87,3,3,0.52,100,12,7.94,"easy",0.8
