"question_id","Mean","Median","Mode","SD","direction_pct","complete_time_median","complete_time_sd","question_type","average_new_expert"
"9-q9",-0.33,0,0,0.82,20,6,7,"hard",0
"10-q4",0.13,0,0,1.41,33.33,7,9.96,"hard",0.2
"5-q6",-2.73,-3,-3,0.59,100,10,7.61,"easy",-2.4
"6-q3",0.73,1,1,0.8,60,7,7.8,"hard",0
"8-q5",1.2,1,0,1.37,53.33,7,4.84,"easy",1.6
"4-q3",-2.53,-3,-3,0.74,100,17,8.7,"easy",-2.2
"10-q8",2.33,3,3,0.98,100,7,9.96,"hard",0.4
"2-q1",-2.73,-3,-3,0.46,100,6,6.61,"easy",-2.2
"9-q5",-2.93,-3,-3,0.26,100,6,7,"easy",-3
"3-q3",1,1,0,1.13,60,9,8.64,"easy",0.6
"10-q2",0,0,0,2,33.33,7,9.96,"hard",0.4
"2-q4",-0.53,0,0,1.06,33.33,6,6.61,"hard",-1
"2-q7",-1.07,-1,-1,0.96,66.67,6,6.61,"hard",0
"0-q7",-1.4,-2,-3,1.84,73.33,6,5.9,"easy",-1.4
"4-q1",-1.6,-1,-1,1.18,80,17,8.7,"easy",-0.6
"3-q1",0.27,0,0,1.39,26.67,9,8.64,"hard",-0.6
"5-q3",3,3,3,0,100,10,7.61,"easy",2.6
"8-q9",0.47,0,0,0.52,46.67,7,4.84,"hard",-0.8
"0-q4",-0.47,-1,-2,1.92,53.33,6,5.9,"hard",-1
"10-q5",0.2,0,0,1.15,33.33,7,9.96,"hard",0.2
"5-q7",-2.4,-3,-3,0.83,100,10,7.61,"easy",-2
"10-q1",-1.73,-2,-2,1.03,86.67,7,9.96,"easy",-1
"6-q5",-2.93,-3,-3,0.26,100,7,7.8,"easy",-2.2
"6-q8",1.67,1,1,0.98,100,7,7.8,"easy",1
"3-q5",-0.53,0,0,0.99,46.67,9,8.64,"hard",0.6
"5-q10",-2.73,-3,-3,0.46,100,10,7.61,"easy",-2.6
"2-q9",-1.6,-1,-1,0.91,93.33,6,6.61,"hard",-0.6
"1-q3",-2.67,-3,-3,0.62,100,7,5.6,"easy",-3
"3-q10",-0.73,-1,-1,0.46,73.33,9,8.64,"hard",0
"5-q2",-2.73,-3,-3,0.46,100,10,7.61,"easy",-1.8
"9-q6",-0.73,-1,-1,1.1,60,6,7,"hard",0.2
"6-q1",-1.8,-2,-2,0.86,93.33,7,7.8,"easy",-1.4
"9-q10",1.67,1,1,0.98,100,6,7,"easy",0.6
"0-q1",-1.73,-2,-2,0.96,86.67,6,5.9,"easy",-2.2
"0-q10",-2.73,-3,-3,0.46,100,6,5.9,"easy",-3
"4-q4",-2.8,-3,-3,0.41,100,17,8.7,"easy",-3
"8-q10",0.4,0,0,1.18,26.67,7,4.84,"hard",0.8
"8-q1",-0.93,-1,-2,1.1,66.67,7,4.84,"hard",0
"8-q8",-1.33,-1,-1,0.98,93.33,7,4.84,"easy",-0.6
"8-q2",2.87,3,3,0.52,100,7,4.84,"easy",1
"9-q7",1.67,3,3,1.68,80,6,7,"hard",0
"3-q4",1.67,1,1,1.18,86.67,9,8.64,"hard",0.4
"1-q5",-1.93,-2,-1,0.96,100,7,5.6,"easy",-1.2
"1-q7",-2.8,-3,-3,0.41,100,7,5.6,"easy",-2
"8-q7",1.67,1,1,1.18,86.67,7,4.84,"hard",0
"4-q8",0.47,0,0,1.6,33.33,17,8.7,"easy",1
"6-q7",2.4,3,3,1.06,93.33,7,7.8,"easy",0.4
"5-q5",1.2,1,1,1.52,66.67,10,7.61,"hard",-0.4
"4-q5",1.07,0,3,1.75,46.67,17,8.7,"hard",0.6
"10-q9",-0.47,-1,-1,0.83,53.33,7,9.96,"hard",0
"3-q9",0.53,0,0,1.25,40,9,8.64,"hard",-0.4
"0-q8",-0.47,0,0,0.92,46.67,6,5.9,"hard",-0.2
"10-q7",1.33,1,1,1.18,86.67,7,9.96,"hard",-0.2
"2-q10",1.27,1,1,1.22,80,6,6.61,"easy",1
"2-q2",2.87,3,3,0.52,100,6,6.61,"easy",2.2
"1-q9",-0.13,0,1,1.36,40,7,5.6,"hard",0
"5-q1",-0.93,-1,-1,1.87,73.33,10,7.61,"hard",0.8
"4-q6",1.67,1,1,1.18,86.67,17,8.7,"hard",0.4
