"question_id","Mean","Median","Mode","SD","direction_pct","complete_time_median","complete_time_sd","question_type","average_new_expert"
"9-q4",-2.5,-3,-3,0.71,100,12,8.5,"easy",-2.8
"2-q2",3,3,3,0,100,10.5,8.82,"easy",2.2
"6-q1",-1.3,-2,-2,1.77,80,8.5,8.58,"easy",-1.4
"2-q7",-0.4,-1,-1,1.9,70,6,7.56,"hard",0
"1-q1",2.2,3,3,1.93,90,6.5,4.78,"easy",2.4
"6-q10",-0.2,-0.5,-1,1.62,50,9.5,6.19,"easy",-0.4
"8-q2",2.8,3,3,0.63,100,7,2.67,"easy",1
"2-q9",-1.5,-1,-1,0.71,100,6,7.56,"hard",-0.6
"1-q10",-3,-3,-3,0,100,6.5,4.78,"easy",-3
"4-q6",1.1,0.5,0,1.37,50,8,9.08,"hard",0.4
"9-q10",1.1,1,1,0.74,90,6.5,4.2,"easy",0.6
"10-q2",-0.9,-2,-3,2.47,60,5,4.74,"hard",0.4
"3-q2",2.6,3,3,0.84,100,5.5,8.83,"easy",0.6
"0-q8",-0.4,0,0,0.84,40,5.5,5.4,"hard",-0.2
"7-q1",-1.4,-1.5,-2,0.7,90,14.5,8.01,"hard",-0.2
"5-q5",0.9,1,1,1.73,60,8.5,7.87,"hard",-0.4
"7-q9",1.6,2,3,1.71,80,14.5,8.01,"easy",1.8
"9-q5",-3,-3,-3,0,100,6.5,4.2,"easy",-3
"2-q7",-1.7,-2,-3,1.34,70,10.5,8.82,"hard",0
"10-q5",0.7,0,0,1.34,40,9.5,9.98,"hard",0.2
"9-q9",-0.6,0,0,0.97,40,6.5,4.2,"hard",0
"8-q1",-0.9,-1.5,-2,1.79,70,7,2.67,"hard",0
"6-q2",2.3,3,3,1.16,90,13.5,7.37,"easy",2.4
"3-q9",1.3,1,3,1.57,60,5.5,8.83,"hard",-0.4
"2-q4",0.1,0,0,1.45,30,6,7.56,"hard",-1
"2-q10",2,3,3,1.41,90,10.5,8.82,"easy",1
"7-q10",0.8,1,1,1.87,60,14.5,8.01,"easy",1.2
"3-q1",-0.3,0,0,1.49,40,5.5,8.83,"hard",-0.6
"0-q10",-2.8,-3,-3,0.42,100,5.5,5.4,"easy",-3
"1-q6",1.7,2,3,1.49,80,7,9.14,"easy",1.6
"10-q7",0.4,1,1,1.71,70,5,4.74,"hard",-0.2
"5-q8",3,3,3,0,100,6,4.37,"easy",0.8
"1-q7",-3,-3,-3,0,100,6.5,4.78,"easy",-2
"4-q3",-2,-2.5,-3,1.33,90,8,9.08,"easy",-2.2
"1-q9",1.2,1,1,1.03,80,6.5,4.78,"hard",0
"10-q1",-2.1,-3,-3,1.29,80,5,4.74,"easy",-1
"2-q2",2.8,3,3,0.63,100,6,7.56,"easy",2.2
"9-q7",0.8,1,1,1.55,70,6.5,4.2,"hard",0
"3-q3",0.7,0.5,0,1.49,50,9,8.19,"easy",0.6
"0-q8",-0.6,-1,-2,1.51,60,8,6.26,"hard",-0.2
"0-q4",-0.4,-0.5,0,2.07,50,5.5,5.4,"hard",-1
"6-q7",2.1,3,3,2.02,80,9.5,6.19,"easy",0.4
