"question_id","Mean","Median","Mode","SD","direction_pct","complete_time_median","complete_time_sd","question_type","average_new_expert"
"10-q3",2.55,3,3,1.23,95,8,8.42,"easy",1.6
"10-q4",0.8,0,0,1.74,45,8,8.42,"hard",0.2
"8-q1",-0.6,-1,-1,1.1,60,7,5.03,"hard",0
"10-q8",2.15,3,3,1.46,85,8,8.42,"hard",0.4
"2-q10",1.6,1,1,1.27,85,6.5,8.89,"easy",1
"10-q5",0.15,0,0,1.23,25,6,7.89,"hard",0.2
"6-q3",0.95,1,0,1.39,55,12,7.96,"hard",0
"8-q9",0.4,0,0,0.82,35,7,5.03,"hard",-0.8
"2-q6",3,3,3,0,100,6.5,8.89,"easy",3
"7-q2",-0.4,-1,-1,2.14,55,14.5,7.98,"hard",-0.8
"8-q7",1.45,1,1,1.36,85,7,5.03,"hard",0
"10-q2",0.6,0,3,2.04,45,6,7.89,"hard",0.4
"5-q8",2.6,3,3,0.82,100,12.5,8.2,"easy",0.8
"1-q2",-2.6,-3,-3,0.6,100,7.5,7.07,"easy",-2.6
"10-q9",-0.25,0,0,0.72,30,6,7.89,"hard",0
"2-q7",-1.1,-1,-3,1.92,65,7.5,7.76,"hard",0
"5-q7",-2.1,-2,-2,1.02,95,12.5,8.2,"easy",-2
"6-q8",1.95,3,3,1.47,85,12,7.96,"easy",1
"0-q6",2.9,3,3,0.45,100,8,6.38,"easy",3
"8-q2",2.05,3,3,1.67,85,7,5.03,"easy",1
"4-q8",0.6,0,0,1.35,35,11.5,7.84,"easy",1
"8-q4",1.35,1,1,1.18,75,7,5.03,"easy",1.6
"2-q9",-1.6,-2,-3,1.6,85,7.5,7.76,"hard",-0.6
"6-q7",2.6,3,3,0.82,100,12,7.96,"easy",0.4
"1-q3",-2.6,-3,-3,0.68,100,7.5,7.07,"easy",-3
"10-q4",0.1,0,1,1.52,45,6,7.89,"hard",0.2
"2-q4",-0.05,0,0,1.54,25,7.5,7.76,"hard",-1
"5-q5",0.65,1,1,1.46,65,12.5,8.2,"hard",-0.4
"7-q6",-1.6,-2,-2,0.75,95,14.5,7.98,"easy",-1.8
"7-q10",1.05,1,1,1.28,60,14.5,7.98,"easy",1.2
"7-q1",-1.25,-1,-1,1.48,80,14.5,7.98,"hard",-0.2
"2-q7",-0.55,-1,0,1.5,55,6.5,8.89,"hard",0
"10-q2",0.25,0.5,3,2.29,50,8,8.42,"hard",0.4
"0-q8",-0.2,0,0,1.28,35,8,6.38,"hard",-0.2
"10-q7",1.15,1,1,1.23,70,6,7.89,"hard",-0.2
"3-q5",-0.4,0,0,0.82,40,10.5,9.14,"hard",0.6
"1-q9",-0.15,0,0,1.18,30,7.5,7.07,"hard",0
"6-q10",-0.55,-1,-1,1.79,60,12,7.96,"easy",-0.4
