"question_id","Mean","Median","Mode","SD","direction_pct","complete_time_median","complete_time_sd","question_type","average_new_expert"
"0-q8",0.4,0,0,1.35,40,3,7.21,"hard",-0.2
"3-q3",0.13,0,1,1.19,46.67,9,8.46,"easy",0.6
"7-q1",0.2,0,3,2.27,46.67,13,8.26,"hard",-0.2
"10-q5",0.27,0,0,1.75,33.33,6,6.23,"hard",0.2
"6-q3",1.4,1,1,1.24,73.33,13,7.33,"hard",0
"0-q10",-1.6,-3,-3,2.23,73.33,3,7.21,"easy",-3
"0-q8",-0.93,-1,-1,1.44,80,6,5.43,"hard",-0.2
"0-q1",-1.87,-2,-2,1.06,86.67,6,5.43,"easy",-2.2
"5-q3",3,3,3,0,100,5,5.52,"easy",2.6
"2-q2",2.8,3,3,0.77,93.33,16,9.23,"easy",2.2
"8-q10",0.33,0,0,1.88,26.67,8,5.92,"hard",0.8
"6-q6",-0.93,-1,-2,1.87,80,13,7.33,"easy",-1.6
"3-q9",0.87,0,3,1.73,46.67,7,6.91,"hard",-0.4
"8-q8",-0.67,-1,-1,2.02,80,7,7.3,"easy",-0.6
"2-q1",-2.33,-3,-3,1.54,93.33,16,9.23,"easy",-2.2
"7-q1",-0.53,-1,-1,1.77,60,7,7.84,"hard",-0.2
"2-q7",-0.4,0,0,1.8,46.67,6,5.64,"hard",0
"1-q6",1.47,1,3,1.6,66.67,13,8.36,"easy",1.6
"8-q5",1.93,3,3,1.39,73.33,7,7.3,"easy",1.6
"6-q10",-0.2,-1,-1,1.97,53.33,10,6.49,"easy",-0.4
"7-q10",1.13,1,1,1.6,66.67,7,7.84,"easy",1.2
"2-q1",-1.67,-3,-3,2.16,80,6,5.64,"easy",-2.2
"10-q8",1.4,3,3,2.13,80,6,6.23,"hard",0.4
"10-q3",2.67,3,3,1.29,93.33,6,6.23,"easy",1.6
"10-q3",2.6,3,3,0.83,100,6,6.98,"easy",1.6
"0-q2",-1.27,-2,-3,1.67,66.67,3,7.21,"easy",-1.4
"10-q4",0.4,0,0,2.06,46.67,11,8.51,"hard",0.2
"9-q2",-1,-1,-1,1.6,73.33,9,8.05,"easy",-1.4
"6-q8",1.73,3,3,1.71,86.67,10,6.49,"easy",1
"3-q10",-0.67,-1,-1,0.72,66.67,6,7.88,"hard",0
"1-q7",-1.73,-3,-3,2.05,86.67,7,6.54,"easy",-2
"0-q4",-0.8,-1,-2,1.97,60,6,5.43,"hard",-1
"10-q9",-0.27,0,0,1.39,40,11,8.51,"hard",0
"9-q6",0.33,0,3,1.95,40,9,8.05,"hard",0.2
"2-q10",1.73,1,3,1.33,86.67,16,9.23,"easy",1
"10-q5",0,0,0,1.56,26.67,6,6.98,"hard",0.2
"4-q10",2.2,3,3,2.11,86.67,10,5.38,"easy",2.8
"7-q2",0.47,1,1,1.96,53.33,7,7.84,"hard",-0.8
"6-q2",2.13,3,3,1.36,86.67,10,6.49,"easy",2.4
"7-q8",-0.07,0,0,1.03,33.33,8,8.35,"hard",0.4
"8-q1",0.27,0,0,1.83,40,8,5.92,"hard",0
"8-q4",1.13,1,3,1.6,66.67,8,5.92,"easy",1.6
"9-q10",0.87,1,1,1.68,60,9,8.05,"easy",0.6
"1-q9",0.6,0,0,1.18,46.67,7,6.54,"hard",0
"5-q6",-2.67,-3,-3,0.62,100,8,9.19,"easy",-2.4
"4-q6",0.87,1,1,1.88,73.33,10,5.38,"hard",0.4
"5-q5",0.53,1,1,1.36,53.33,12,7.2,"hard",-0.4
"0-q7",-0.13,0,-3,2.39,46.67,3,7.21,"easy",-1.4
"6-q7",1.8,3,3,1.78,86.67,13,7.33,"easy",0.4
"3-q8",-1.73,-3,-3,2.05,86.67,6,7.88,"easy",-1.8
"3-q10",-0.4,0,0,0.99,40,9,8.46,"hard",0
"9-q5",-2.4,-3,-3,1.55,93.33,4,6.97,"easy",-3
"8-q7",1.2,1,1,1.42,86.67,5,5.82,"hard",0
"1-q3",-2.53,-3,-3,0.74,100,5,8.9,"easy",-3
"1-q9",-0.13,0,0,1.55,26.67,13,8.36,"hard",0
"3-q3",1.33,1,0,1.45,53.33,7,6.91,"easy",0.6
"8-q8",0,-1,-1,2.07,60,5,5.82,"easy",-0.6
"5-q6",-1.87,-3,-3,2.07,86.67,5,5.52,"easy",-2.4
"3-q5",-0.6,-1,-2,1.45,60,6,7.88,"hard",0.6
"2-q4",0.47,0,0,1.64,40,6,9.67,"hard",-1
"3-q10",-0.33,-1,-1,1.68,53.33,7,6.91,"hard",0
"10-q2",1.07,3,3,2.31,60,6,6.98,"hard",0.4
"0-q9",-0.67,-1,-2,2.09,66.67,3,7.21,"easy",-1.2
"8-q7",1.33,1,1,1.45,80,7,7.3,"hard",0
"2-q4",0.73,0,0,1.58,40,6,5.64,"hard",-1
"6-q5",-2.07,-3,-3,1.62,86.67,10,6.49,"easy",-2.2
"8-q1",0,0,-1,1.77,46.67,7,7.3,"hard",0
"4-q4",-2.27,-3,-3,1.58,93.33,17,9.47,"easy",-3
"3-q1",-0.13,0,0,0.74,33.33,7,6.91,"hard",-0.6
"9-q1",-0.93,-2,-2,2.15,80,9,8.05,"easy",-1.2
"9-q10",1.53,1,1,1.46,86.67,8,8.9,"easy",0.6
"2-q3",1.2,1,1,1.26,73.33,6,9.67,"easy",0.8
"9-q4",-1.53,-2,-3,2.07,80,9,8.05,"easy",-2.8
"6-q1",0.13,0,3,2.1,46.67,13,7.33,"easy",-1.4
"7-q8",0.33,0,0,1.63,33.33,7,7.84,"hard",0.4
"6-q6",-1.6,-2,-2,1.45,93.33,10,6.49,"easy",-1.6
"8-q7",1.8,3,3,1.52,86.67,8,5.92,"hard",0
"10-q2",0.13,0,3,2.23,46.67,6,6.23,"hard",0.4
"1-q7",-2.47,-3,-3,0.83,100,5,8.9,"easy",-2
"9-q9",-0.67,0,0,1.68,33.33,9,8.05,"hard",0
"10-q5",0.27,0,0,1.39,33.33,11,8.51,"hard",0.2
"3-q4",1.13,1,1,1.41,73.33,9,8.46,"hard",0.4
"7-q2",-1,-2,-3,2.3,66.67,8,8.35,"hard",-0.8
"5-q7",-2.13,-3,-3,1.19,93.33,5,5.52,"easy",-2
"4-q1",-1.27,-2,-2,1.71,73.33,17,9.47,"easy",-0.6
"7-q9",1.2,3,3,2.18,60,13,8.26,"easy",1.8
"10-q4",0.4,0,0,1.76,46.67,6,6.23,"hard",0.2
"0-q4",0.87,1,3,2.13,60,3,7.21,"hard",-1
"7-q5",0.8,1,3,1.93,53.33,8,8.35,"hard",-0.4
"7-q2",1.07,3,3,2.25,53.33,13,8.26,"hard",-0.8
"6-q10",-0.8,-1,-1,1.08,66.67,6,6.66,"easy",-0.4
"10-q2",-0.07,0,0,2.02,40,11,8.51,"hard",0.4
"1-q5",-1.53,-1,-3,1.64,86.67,5,8.9,"easy",-1.2
"6-q5",-1.73,-3,-3,2.28,73.33,13,7.33,"easy",-2.2
"3-q4",1,1,1,1.56,73.33,7,6.91,"hard",0.4
"6-q8",1.53,1,1,1.46,86.67,6,6.66,"easy",1
"2-q6",2.87,3,3,0.52,100,6,9.67,"easy",3
"2-q9",-1.47,-1,-1,1.51,93.33,16,9.23,"hard",-0.6
"5-q2",-1.73,-2,-3,2.02,86.67,5,5.52,"easy",-1.8
"1-q1",1.8,3,3,2.24,80,7,6.54,"easy",2.4
"5-q1",-0.8,-1,-1,1.7,66.67,8,9.19,"hard",0.8
"2-q9",-0.8,-1,-2,1.93,73.33,6,5.64,"hard",-0.6
"0-q1",-0.33,0,0,2.09,46.67,3,7.21,"easy",-2.2
"3-q9",0.13,0,1,1.41,46.67,6,7.88,"hard",-0.4
"10-q7",1.33,1,1,1.11,80,11,8.51,"hard",-0.2
"9-q7",2.07,3,3,1.53,86.67,8,8.9,"hard",0
"3-q3",1.13,1,3,1.55,60,6,7.88,"easy",0.6
"3-q4",1.6,1,3,1.59,86.67,6,7.88,"hard",0.4
"5-q5",0.67,1,1,1.29,60,8,9.19,"hard",-0.4
"2-q7",-0.93,-1,-1,1.87,73.33,16,9.23,"hard",0
"9-q10",1.47,1,1,1.51,80,4,6.97,"easy",0.6
"3-q1",-0.2,0,0,2.11,33.33,9,8.46,"hard",-0.6
"3-q5",-0.27,0,0,1.39,40,7,6.91,"hard",0.6
"7-q10",1,1,3,1.85,53.33,13,8.26,"easy",1.2
"10-q1",-0.87,-2,-3,2.33,66.67,11,8.51,"easy",-1
"8-q9",0.73,1,1,1.44,53.33,5,5.82,"hard",-0.8
"10-q8",1.67,1,3,1.4,80,6,6.98,"hard",0.4
"8-q10",-0.27,0,0,1.28,46.67,7,7.3,"hard",0.8
"3-q5",-0.4,0,0,1.4,40,9,8.46,"hard",0.6
