X,question_id,Dan,Hanna,Ruan,Nina,Wali_round2
0,0-q1,1.32,1,1.16,1,1.16
1,0-q10,1,1,1,1,1
2,0-q2,1.32,1.16,1.32,1.16,1.32
3,0-q3,1.5,1.5,1.5,1.5,1.5
4,0-q4,1.32,1.5,1.32,1.32,1.16
5,0-q5,2,2,2,2,2
6,0-q6,2,2,2,2,2
7,0-q7,1.32,1.32,1.32,1.16,1.16
8,0-q8,1.32,1.5,1.5,1.5,1.5
9,0-q9,1.32,1.32,1.32,1.16,1.32
10,1-q1,2,1.84,1.84,2,1.84
11,1-q10,1,1,1,1,1
12,1-q2,1,1.16,1,1,1.16
13,1-q3,1,1,1,1,1
14,1-q4,1.5,1.5,1.5,1.5,1.5
15,1-q5,1.16,1.32,1.5,1.16,1.32
16,1-q6,2,1.68,1.68,1.84,1.68
17,1-q7,1.16,1,1.16,1.16,1.32
18,1-q8,2,2,2,2,2
19,1-q9,1.5,1.5,1.5,1.5,1.5
20,10-q1,1.32,1.16,1.32,1.32,1.5
21,10-q10,1.84,2,2,2,2
22,10-q2,1.5,1.5,1.5,1.84,1.5
23,10-q3,1.84,1.68,1.68,2,1.68
24,10-q4,1.5,1.5,1.5,1.68,1.5
25,10-q5,1.68,1.5,1.5,1.5,1.5
26,10-q6,1.5,1.5,1.5,1.5,1.5
27,10-q7,1.5,1.5,1.5,1.32,1.5
28,10-q8,1.5,1.68,1.5,1.68,1.5
29,10-q9,1.5,1.5,1.5,1.68,1.32
30,2-q1,1.16,1,1.16,1,1.32
31,2-q10,1.68,1.68,1.5,1.84,1.68
32,2-q2,1.84,1.84,1.84,2,1.84
33,2-q3,1.68,1.5,1.68,1.68,1.68
34,2-q4,1.32,1.32,1.68,1,1.32
35,2-q5,2,2,2,2,2
36,2-q6,2,2,2,2,2
37,2-q7,1.5,1.5,1.5,1.5,1.5
38,2-q8,1.5,1.5,1.5,1.5,1.5
39,2-q9,1.32,1.5,1.5,1.16,1.5
40,3-q1,1.32,1.5,1.5,1.32,1.32
41,3-q10,1.5,1.5,1.5,1.5,1.5
42,3-q2,1.68,1.5,1.5,1.68,1.68
43,3-q3,1.5,1.68,1.68,1.68,1.5
44,3-q4,1.5,1.5,1.5,1.68,1.68
45,3-q5,1.68,1.5,1.68,1.68,1.5
46,3-q6,2,2,2,2,2
47,3-q7,1.5,1.5,1.5,1.5,1.5
48,3-q8,1,1.16,1.5,1,1.32
49,3-q9,1.32,1.5,1.32,1.5,1.5
50,4-q1,1.32,1.5,1.32,1.32,1.5
51,4-q10,2,1.84,2,2,2
52,4-q2,1.32,1.16,1.5,1.16,1.32
53,4-q3,1.16,1,1.16,1,1.32
54,4-q4,1,1,1,1,1
55,4-q5,1.5,1.68,1.84,1.5,1.5
56,4-q6,1.5,1.5,1.68,1.68,1.5
57,4-q7,2,2,2,2,2
58,4-q8,1.5,1.5,1.84,1.84,1.68
59,4-q9,1.5,1.5,1.5,1.5,1.5
60,5-q1,1.68,1.68,1.5,1.84,1.5
61,5-q10,1.16,1,1,1,1.16
62,5-q2,1.16,1.16,1.32,1,1.32
63,5-q3,2,2,1.84,2,1.84
64,5-q4,1.5,1.5,1.5,1.5,1.5
65,5-q5,1.68,1.5,1.32,1.16,1.5
66,5-q6,1.16,1,1.16,1,1.16
67,5-q7,1,1.16,1.32,1,1.32
68,5-q8,1.68,1.5,1.68,1.84,1.5
69,5-q9,2,2,2,2,2
70,6-q1,1.16,1.16,1.16,1.32,1.5
71,6-q10,1.32,1.32,1.32,1.68,1.5
72,6-q2,1.84,2,2,2,1.68
73,6-q3,1.5,1.5,1.5,1.5,1.5
74,6-q4,2,2,2,2,2
75,6-q5,1.16,1,1.16,1,1.32
76,6-q6,1.16,1.32,1.16,1.16,1.32
77,6-q7,1.68,1.68,1.16,1.68,1.68
78,6-q8,1.68,1.68,1.68,1.84,1.5
79,6-q9,1.5,1.5,1.5,1.5,1.5
80,7-q1,1.32,1.5,1.5,1.5,1.5
81,7-q10,1.68,1.68,1.84,1.84,1.5
82,7-q2,1.32,1.5,1.5,1.16,1.32
83,7-q3,1.5,1.5,1.5,1.5,1.5
84,7-q4,1.84,1.68,1.84,2,1.68
85,7-q5,1.5,1.5,1.5,1.16,1.5
86,7-q6,1.16,1.16,1.16,1.16,1.32
87,7-q7,1.84,2,2,2,2
88,7-q8,1.68,1.5,1.5,1.68,1.5
89,7-q9,1.84,1.84,1.68,2,1.68
90,8-q1,1.32,1.68,1.5,1.68,1.32
91,8-q10,1.68,1.68,1.68,1.5,1.68
92,8-q2,1.5,1.68,1.68,1.84,1.68
93,8-q3,1.84,2,2,2,2
94,8-q4,1.68,1.68,1.84,2,1.68
95,8-q5,1.84,1.84,1.68,1.68,1.84
96,8-q6,1.5,1.5,1.5,1.16,1.5
97,8-q7,1.68,1.32,1.5,1.5,1.5
98,8-q8,1.16,1.32,1.5,1.68,1.32
99,8-q9,1.5,1.32,1.32,1.16,1.5
100,9-q1,1.32,1.32,1.5,1,1.32
101,9-q10,1.68,1.5,1.5,1.68,1.68
102,9-q2,1.32,1.16,1.16,1.32,1.32
103,9-q3,1.5,1.5,1.5,1.5,1.5
104,9-q4,1,1,1,1,1.16
105,9-q5,1,1,1,1,1
106,9-q6,1.32,1.68,1.5,1.68,1.5
107,9-q7,1.68,1.5,1.5,1.32,1.5
108,9-q8,2,2,2,2,2
109,9-q9,1.5,1.5,1.5,1.5,1.5
